AccessionNumber,Species,Geo_location,Collection_date,Host
KJ501150.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501153.1,West Nile virus,USA,2011,Culex tarsalis
KJ501154.1,West Nile virus,USA,2011,Culex tarsalis
KJ501155.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501157.1,West Nile virus,USA,2011,Culex tarsalis
KJ501158.1,West Nile virus,USA,2011,Culex tarsalis
KJ501159.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501160.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501161.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501162.1,West Nile virus,USA,2007,Culex tarsalis
KJ501163.1,West Nile virus,USA,2007,Culex tarsalis
KJ501164.1,West Nile virus,USA,2008,Culex tarsalis
KJ501165.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501166.1,West Nile virus,USA,2007,Culex tarsalis
KJ501167.1,West Nile virus,USA,2007,Culex quinquefasciatus
KJ501168.1,West Nile virus,USA,2007,Culex quinquefasciatus
KJ501169.1,West Nile virus,USA,2006,Culex quinquefasciatus
KJ501170.1,West Nile virus,USA,2011,Culex tarsalis
KJ501171.1,West Nile virus,USA,2005,Culex pipiens
KJ501172.1,West Nile virus,USA,2005,Culex tarsalis
KJ501173.1,West Nile virus,USA,2005,Culex pipiens
KJ501174.1,West Nile virus,USA,2008,Culex pipiens
KJ501175.1,West Nile virus,USA,2005,Culex pipiens
KJ501176.1,West Nile virus,USA,2008,Culex tarsalis
KJ501177.1,West Nile virus,USA,2011,Culex pipiens
KJ501178.1,West Nile virus,USA,2011,Culex tarsalis
KJ501179.1,West Nile virus,USA,2011,Culex tarsalis
KJ501180.1,West Nile virus,USA,2011,Culex pipiens
KJ501181.1,West Nile virus,USA,2010,Culex tarsalis
KJ501182.1,West Nile virus,USA,2011,Culex pipiens
KJ501183.1,West Nile virus,USA,2005,Culex tarsalis
KJ501184.1,West Nile virus,USA,2005,Culex tarsalis
KJ501185.1,West Nile virus,USA,2005,Culex tarsalis
KJ501186.1,West Nile virus,USA,2005,Culex tarsalis
KJ501187.1,West Nile virus,USA,2005,Culex pipiens
KJ501188.1,West Nile virus,USA,2005,Culex pipiens
KJ501189.1,West Nile virus,USA,2007,Culex tarsalis
KJ501190.1,West Nile virus,USA,2008,Culex tarsalis
KJ501192.1,West Nile virus,USA,2007,Culex tarsalis
KJ501193.1,West Nile virus,USA,2007,Culex pipiens
KJ501194.1,West Nile virus,USA,2009,Culex pipiens
KJ501195.1,West Nile virus,USA,2007,Culex tarsalis
KJ501196.1,West Nile virus,USA,2010,Culex tarsalis
KJ501197.1,West Nile virus,USA,2011,Culex tarsalis
KJ501198.1,West Nile virus,USA,2010,Culex tarsalis
KJ501199.1,West Nile virus,USA,2011,Culex tarsalis
KJ501200.1,West Nile virus,USA,2011,Culex tarsalis
KJ501201.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501204.1,West Nile virus,USA,2007,Culex pipiens
KJ501205.1,West Nile virus,USA,2011,Culex tarsalis
KJ501206.1,West Nile virus,USA,2008,Culex tarsalis
KJ501207.1,West Nile virus,USA,2012,Culex tarsalis
KJ501208.1,West Nile virus,USA,2012,Culex tarsalis
KJ501209.1,West Nile virus,USA,2012,Culex tarsalis
KJ501210.1,West Nile virus,USA,2012,Culex tarsalis
KJ501211.1,West Nile virus,USA,2012,Culex tarsalis
KJ501212.1,West Nile virus,USA,2012,Culex pipiens
KJ501213.1,West Nile virus,USA,2012,Culex tarsalis
KJ501214.1,West Nile virus,USA,2012,Culex tarsalis
KJ501215.1,West Nile virus,USA,2012,Culex pipiens
KJ501216.1,West Nile virus,USA,2012,Culex pipiens
KJ501217.1,West Nile virus,USA,2012,Culex tarsalis
KJ501218.1,West Nile virus,USA,2012,Culex pipiens
KJ501219.1,West Nile virus,USA,2012,Culex pipiens
KJ501220.1,West Nile virus,USA,2012,Culex tarsalis
KJ501221.1,West Nile virus,USA,2012,Culex pipiens
KJ501222.1,West Nile virus,USA,2012,Culex
KJ501223.1,West Nile virus,USA,2012,Culex tarsalis
KJ501224.1,West Nile virus,USA,2012,Culex tarsalis
KJ501225.1,West Nile virus,USA,2012,Culex pipiens
KJ501226.1,West Nile virus,USA,2012,Culex tarsalis
KJ501227.1,West Nile virus,USA,2012,Culex tarsalis
KJ501228.1,West Nile virus,USA,2012,Culex tarsalis
KJ501229.1,West Nile virus,USA,2012,Culex tarsalis
KJ501230.1,West Nile virus,USA,2012,Culex tarsalis
KJ501231.1,West Nile virus,USA,2012,Culex pipiens
KJ501232.1,West Nile virus,USA,2012,Culex tarsalis
KJ501236.1,West Nile virus,USA,2009,Pelecanus erythrorhynchos
KJ501237.1,West Nile virus,USA,2008,Pelecanus erythrorhynchos
KJ501238.1,West Nile virus,USA,2008,Larus delawarensis
KJ501239.1,West Nile virus,USA,2008,Phalacrocorax auritus
KJ501240.1,West Nile virus,USA,2008,Phalacrocorax auritus
KJ501241.1,West Nile virus,USA,2009,Pelecanus erythrorhynchos
KJ501242.1,West Nile virus,USA,2010,Pelecanus erythrorhynchos
KJ501250.1,West Nile virus,USA,2009,Pelecanus erythrorhynchos
KJ501251.1,West Nile virus,USA,2009,Corvus brachyrhynchos
KJ501252.1,West Nile virus,USA,2008,Passer domesticus
KJ501253.1,West Nile virus,USA,2008,Sternula antillarum
KJ501254.1,West Nile virus,USA,2008,Branta canadensis
KJ501255.1,West Nile virus,USA,2008,Pelecanus erythrorhynchos
KJ501256.1,West Nile virus,USA,2009,Pelecanus erythrorhynchos
KJ501258.1,West Nile virus,USA,2007,Sternula antillarum
KJ501259.1,West Nile virus,USA,2008,Sternula antillarum
KJ501260.1,West Nile virus,USA,2008,Pelecanus erythrorhynchos
KJ501262.1,West Nile virus,USA,2010,Anas platyrhynchos
KJ501267.1,West Nile virus,USA,2005,Pelecanus erythrorhynchos
KJ501308.1,West Nile virus,USA,2010,Pelecanus erythrorhynchos
KJ501330.1,West Nile virus,USA,2005,Sternula
KJ501335.1,West Nile virus,USA,2005,Pelecanus erythrorhynchos
KJ501341.1,West Nile virus,USA,2005,Haemorhous mexicanus
KJ501342.1,West Nile virus,USA,2005,Gymnogyps californianus
KJ501386.1,West Nile virus,USA,2007,Pelecanus erythrorhynchos
KJ501403.1,West Nile virus,USA,2005,Pelecanus erythrorhynchos
KJ501404.1,West Nile virus,USA,2005,Pelecanus erythrorhynchos
KJ501405.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501406.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501407.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501408.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501409.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501410.1,West Nile virus,USA,2006,Cygnus buccinator
KJ501411.1,West Nile virus,USA,2008,Passer domesticus
KJ501412.1,West Nile virus,USA,2008,Passer domesticus
KJ501414.1,West Nile virus,USA,2005,Sternula
KJ501415.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501416.1,West Nile virus,USA,2006,Charadrius melodus
KJ501417.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501418.1,West Nile virus,USA,2008,Sternula antillarum
KJ501424.1,West Nile virus,USA,2007,Pelecanus erythrorhynchos
KJ501425.1,West Nile virus,USA,2007,Pelecanus erythrorhynchos
KJ501428.1,West Nile virus,USA,2006,Phalacrocorax auritus
KJ501429.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501430.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501431.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501432.1,West Nile virus,USA,2012,Corvus brachyrhynchos
KJ501433.1,West Nile virus,USA,2012,Corvus brachyrhynchos
KJ501434.1,West Nile virus,USA,2012,Pelecanus erythrorhynchos
KJ501435.1,West Nile virus,USA,2012,Sternula antillarum
KJ501436.1,West Nile virus,USA,2012,Corvus brachyrhynchos
KJ501437.1,West Nile virus,USA,2012,Corvus brachyrhynchos
KJ501438.1,West Nile virus,USA,2010,Haliaeetus leucocephalus
KJ501440.1,West Nile virus,USA,2008,Pelecanus erythrorhynchos
KJ501441.1,West Nile virus,USA,2008,Buteo regalis
KJ501442.1,West Nile virus,USA,2010,Haliaeetus leucocephalus
KJ501461.1,West Nile virus,USA,2005,Calidris alba
KJ501471.1,West Nile virus,USA,2005,Haliaeetus leucocephalus
KJ501485.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501487.1,West Nile virus,USA,2005,Corvus brachyrhynchos
KJ501492.1,West Nile virus,USA,2005,Pelecanus erythrorhynchos
KJ501500.1,West Nile virus,USA,2009,Larus smithsonianus
KJ501518.1,West Nile virus,USA,2007,Pelecanus erythrorhynchos
KJ501521.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501523.1,West Nile virus,USA,2006,Sternula antillarum
KJ501524.1,West Nile virus,USA,2006,Actitis macularius
KJ501526.1,West Nile virus,USA,2006,Sternula antillarum
KJ501529.1,West Nile virus,USA,2006,Pelecanus erythrorhynchos
KJ501530.1,West Nile virus,USA,2012,Branta canadensis
KJ501531.1,West Nile virus,USA,2012,Culicidae
KJ501532.1,West Nile virus,USA,2012,Culicidae
KJ501533.1,West Nile virus,USA,2012,Culicidae
KJ501534.1,West Nile virus,USA,2011,Culicidae
KJ501535.1,West Nile virus,USA,2011,Culicidae
KJ501536.1,West Nile virus,USA,2011,Culicidae
KJ501537.1,West Nile virus,USA,2011,Culicidae
KJ501538.1,West Nile virus,USA,2011,Culicidae
KJ501539.1,West Nile virus,USA,2011,Culicidae
KF367469.1,West Nile virus,British Virgin Islands: Necker Island,2013-03-30,Phoenicopterus roseus
KC496015.1,West Nile virus,Hungary,2010,Equus caballus
KC496016.1,West Nile virus,Serbia,2010,Culex pipiens
KF704147.1,West Nile virus,"USA: Glendale, Maricopa Co., AZ",2010-08-01,Culex quinquefasciatus
KF704153.1,West Nile virus,"USA: Gilbert, Maricopa Co., AZ",2010-08-06,Culex quinquefasciatus
KF704158.1,West Nile virus,"USA: Gilbert, Maricopa Co., AZ",2010-08-09,Culex quinquefasciatus
KJ145799.1,West Nile virus,USA,2005,Ochlerotatus sollicitans
KJ145802.1,West Nile virus,USA,2005,Culex pipiens
KJ145810.1,West Nile virus,USA,2006,Culex pipiens
KJ145811.1,West Nile virus,USA,2009,Culiseta melanura
KJ145812.1,West Nile virus,USA,2008,Corvus brachyrhynchos
KJ145819.1,West Nile virus,USA,2005,Corvus brachyrhynchos
KJ145820.1,West Nile virus,USA,2008,
KJ145821.1,West Nile virus,USA,2006,Corvus brachyrhynchos
KJ145822.1,West Nile virus,USA,2006,Corvus brachyrhynchos
KJ145823.1,West Nile virus,USA,2006,Corvus brachyrhynchos
KJ145824.1,West Nile virus,USA,2009,Corvus brachyrhynchos
KJ145825.1,West Nile virus,USA,2009,Corvus brachyrhynchos
KJ145826.1,West Nile virus,USA,2010,Corvus brachyrhynchos
KJ145827.1,West Nile virus,USA,2010,Corvus brachyrhynchos
KJ145828.1,West Nile virus,USA,2010,Corvus brachyrhynchos
KJ145829.1,West Nile virus,USA,2010,Corvus brachyrhynchos
KJ145830.1,West Nile virus,USA,2010,Corvus brachyrhynchos
KJ145831.1,West Nile virus,USA,2006,Culex
KJ145832.1,West Nile virus,USA,2007,Loriini
KF179640.1,West Nile virus,Austria,2008,Accipiter gentilis
KC333374.1,West Nile virus,"USA: Harris Co., Texas",2011-08-26,Passer domesticus
KC333375.1,West Nile virus,"USA: Harris Co., Texas",2012-08-04,Passer domesticus
KC333376.1,West Nile virus,"USA: Katy, Harris Co., Texas",2012-06-14,Cyanocitta cristata
KC333377.1,West Nile virus,"USA: Katy, Harris Co., Texas",2012-06-14,Cyanocitta cristata
KC333378.1,West Nile virus,"USA: Pasadena, Harris Co., Texas",2012-06-28,Cyanocitta cristata
KC333379.1,West Nile virus,"USA: Houston, Harris Co., Texas",2012-06-28,Cyanocitta cristata
KC333380.1,West Nile virus,"USA: Katy, Harris Co., Texas",2012-06-29,Cyanocitta cristata
KC333381.1,West Nile virus,"USA: Houston, Harris Co., Texas",2012-07-04,Cyanocitta cristata
KC333382.1,West Nile virus,"USA: Houston, Harris Co., Texas",2012-07-06,Cyanocitta cristata
KC333383.1,West Nile virus,"USA: Houston, Harris Co., Texas",2012-07-06,Cyanocitta cristata
KC333384.1,West Nile virus,"USA: Harris Co., Texas",2012-07-11,Lanius ludovicianus
KC333385.1,West Nile virus,"USA: Harris Co., Texas",2012-07-11,Cyanocitta cristata
KC333386.1,West Nile virus,"USA: Harris Co., Texas",2012-07-18,Cyanocitta cristata
KC333387.1,West Nile virus,"USA: Harris Co., Texas",2012-07-18,Passer domesticus
KC711057.1,West Nile virus,"USA: Denton, Denton Co., Texas",2012-05-30,Culex quinquefasciatus
KC711058.1,West Nile virus,"USA: Plano, Collin Co., Texas",2012-06-05,Culex quinquefasciatus
KC711059.1,West Nile virus,"USA: Fairview, Collin Co., Texas",2012-10-09,Culex restuans
JN393308.1,West Nile virus,"South Africa: Tiegerpoort, Pretoria",2008-04-15,Equus caballus
KC736486.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736487.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736488.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736489.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736490.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736491.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736492.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736493.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736494.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736495.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736496.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736497.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736498.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736499.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736500.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736501.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
KC736502.1,West Nile virus,USA: Texas,2012,Culex quinquefasciatus
JF957161.1,West Nile virus,USA: ID,2006,
JF957162.1,West Nile virus,USA: ID,2006,
JF957163.1,West Nile virus,USA: ID,2006,
JF957164.1,West Nile virus,USA: ID,2006,
JF957165.1,West Nile virus,USA: ID,2006,
JF957166.1,West Nile virus,USA: UT,2006,
JF957167.1,West Nile virus,USA: ND,2006,
JF957168.1,West Nile virus,USA: ID,2007,
JF957169.1,West Nile virus,USA: CO,2007,
JF957170.1,West Nile virus,USA: CO,2007,
JF957171.1,West Nile virus,USA: ID,2007,
JF957172.1,West Nile virus,USA: ID,2007,
JF957173.1,West Nile virus,USA: AZ,2008,
JF957174.1,West Nile virus,USA: NV,2008,
JF957175.1,West Nile virus,USA: NV,2009,
JF957176.1,West Nile virus,USA: AZ,2009,
JF957177.1,West Nile virus,USA: NV,2009,
JF957178.1,West Nile virus,USA: NV,2009,
JF957179.1,West Nile virus,USA: LA,2009,
JF957180.1,West Nile virus,USA: NV,2009,
JF957181.1,West Nile virus,USA: SD,2009,
JF957182.1,West Nile virus,USA: TX,2009,
JF957183.1,West Nile virus,USA: TX,2009,
JF957184.1,West Nile virus,USA: CO,2009,
JF957185.1,West Nile virus,USA: AZ,2010,
JF957186.1,West Nile virus,USA: AZ,2010,
KC407667.1,West Nile virus,Spain,2007,Mus musculus
KC407673.1,West Nile virus,Serbia,2012,Accipiter gentilis
KC243146.1,West Nile virus,"Kenya: Ijara, North Eastern Province",2010-11-27,Rhipicephalus pulchellus
JX123030.1,West Nile virus,Australia,2011-03-07,Equus caballus
JX123031.1,West Nile virus,Australia,2011-03-15,Equus caballus
JX015515.1,West Nile virus,"USA: El Paso, Texas",2005-06-28,Culex tarsalis
JX015516.1,West Nile virus,"USA: El Paso, Texas",2007-08-14,Culex tarsalis
JX015517.1,West Nile virus,"USA: El Paso, Texas",2008-08-26,Culex tarsalis
JX015518.1,West Nile virus,"Mexico: Cuidad Juarez, Chihuahua State",2008-09-09,Culex quinquefasciatus
JX015519.1,West Nile virus,"USA: El Paso, Texas",2009-07-28,Culex quinquefasciatus
JX015520.1,West Nile virus,"Mexico: Cuidad Juarez, Chihuahua State",2009-08-11,Culex quinquefasciatus
JX015521.1,West Nile virus,"USA: El Paso, Texas",2009-09-01,Culex tarsalis
JX015522.1,West Nile virus,"USA: El Paso, Texas",2010-08-17,Culex tarsalis
JX015523.1,West Nile virus,"USA: El Paso, Texas",2010-08-31,Culex tarsalis
JN887352.1,West Nile virus,Australia,2011,Equus caballus
JN716371.1,West Nile virus,Colombia: Medellin,2008-07,Phoenicopterus ruber
JN716372.1,West Nile virus,Colombia: Medellin,2008-07,Phoenicopterus ruber
JF707789.1,West Nile virus,Spain,2008,Culex perexiguus
JN183885.1,West Nile virus,USA: New York,2008,Cyanocitta cristata
JN183886.1,West Nile virus,USA: New York,2008,Cyanocitta cristata
JN183888.1,West Nile virus,USA: New York,2006,Corvus brachyrhynchos
JN183892.1,West Nile virus,USA: Illinois,2005,Culex pipiens
JF719065.1,West Nile virus,Italy,2008-10,Corvidae
JF719066.1,West Nile virus,Italy,2008-09,Corvidae
JF719067.1,West Nile virus,Italy,2009-11,Laridae
JF719068.1,West Nile virus,Italy,2009-10,Corvidae
JF719069.1,West Nile virus,Spain,2010-08,Equus caballus
JF703163.1,West Nile virus,USA,2005-11-08,Culex tarsalis
JF415914.1,West Nile virus,USA: Texas,2005,Culex quinquefasciatus
JF415915.1,West Nile virus,USA: Texas,2006,Quiscalus quiscula
JF415916.1,West Nile virus,USA: Texas,2006,Mimus polyglottos
JF415917.1,West Nile virus,USA: Texas,2007,Cyanocitta cristata
JF415918.1,West Nile virus,USA: Texas,2007,Cyanocitta cristata
JF415919.1,West Nile virus,USA: Texas,2007,Aedes albopictus
JF415920.1,West Nile virus,USA: Texas,2007,Cyanocitta cristata
JF415921.1,West Nile virus,USA: Texas,2008,Cyanocitta cristata
JF415922.1,West Nile virus,USA: Texas,2009,Culex quinquefasciatus
JF415923.1,West Nile virus,USA: Texas,2009,Culex quinquefasciatus
JF415924.1,West Nile virus,USA: Texas,2009,Cyanocitta cristata
JF415925.1,West Nile virus,USA: Texas,2009,Aedes albopictus
JF415926.1,West Nile virus,USA: Texas,2009,Culex quinquefasciatus
JF415927.1,West Nile virus,USA: Texas,2009,Aedes albopictus
JF415928.1,West Nile virus,USA: Texas,2009,Culex quinquefasciatus
JF415929.1,West Nile virus,USA: Texas,2005,Cyanocitta cristata
JF415930.1,West Nile virus,USA: Texas,2006,Culex quinquefasciatus
JF972636.1,West Nile virus,USA: Connecticut,2008,Culiseta melanura
JF899529.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
JF920729.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920730.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920731.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920732.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920733.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920734.1,West Nile virus,USA: Connecticut,2006,Culex restuans
JF920735.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920736.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920737.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
JF920738.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920739.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920740.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920741.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920742.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920743.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920744.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920745.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920746.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
JF920747.1,West Nile virus,USA: Connecticut,2008,Culex salinarius
JF920748.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920749.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920750.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920751.1,West Nile virus,USA: Connecticut,2008,Culex restuans
JF920752.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920753.1,West Nile virus,USA: Connecticut,2008,Culex restuans
JF920754.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920755.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920756.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920757.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
JF920758.1,West Nile virus,USA: Connecticut,2009,Culiseta melanura
JF920759.1,West Nile virus,USA: Connecticut,2009,Culex pipiens
JF920760.1,West Nile virus,USA: Connecticut,2009,Culex pipiens
HQ537483.1,West Nile virus,Greece,2010,Culex pipiens
JF488093.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
JF488095.1,West Nile virus,USA: New York,2009,Corvus brachyrhynchos
JF488096.1,West Nile virus,USA: New York,2009,Corvus brachyrhynchos
JF488097.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
JF730042.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
HQ671744.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HQ671745.1,West Nile virus,USA: Illinois,2006,Culex pipiens
HQ671721.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HQ671724.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HQ671725.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HQ671726.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HQ671727.1,West Nile virus,USA: New York,2006,Corvus brachyrhynchos
HQ671728.1,West Nile virus,USA: New York,2006,Corvus brachyrhynchos
HQ671729.1,West Nile virus,USA: New York,2006,Corvus brachyrhynchos
HQ671730.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
HQ671740.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HQ671741.1,West Nile virus,USA: New York,2006,Corvus brachyrhynchos
HM488115.1,West Nile virus,USA: Connecticut,2005,Culex salinarius
HM488116.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488117.1,West Nile virus,USA: Connecticut,2005,Ochlerotatus triseriatus
HM488118.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488119.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488120.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488121.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488149.1,West Nile virus,USA: Connecticut,2005,Ochlerotatus cantator
HM488150.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488151.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488152.1,West Nile virus,USA: Connecticut,2005,Aedes vexans
HM488153.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488154.1,West Nile virus,USA: Connecticut,2005,Culex pipiens
HM488155.1,West Nile virus,USA: Connecticut,2006,Culex restuans
HM488156.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
HM488157.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
HM488158.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
HM488159.1,West Nile virus,USA: Connecticut,2006,Culex salinarius
HM488160.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
HM488161.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM488162.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM488163.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM488164.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM488165.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM488166.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
HM488167.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
HM488168.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
HM488169.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
HM488170.1,West Nile virus,USA: Connecticut,2008,Culex pipiens
HM488192.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HM488193.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HM488194.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HM488195.1,West Nile virus,USA: Illinois,2005,Cyanocitta cristata
HM488196.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HM488197.1,West Nile virus,USA: Illinois,2005,Corvus brachyrhynchos
HM488198.1,West Nile virus,USA: Illinois,2005,Culex pipiens
HM488199.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
HM488200.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
HM488201.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
HM488202.1,West Nile virus,USA: New York,2007,Cyanocitta cristata
HM488203.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488204.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488205.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488206.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488207.1,West Nile virus,USA: New York,2008,Cyanocitta cristata
HM488237.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488238.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488239.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488240.1,West Nile virus,USA: New York,2008,Cyanocitta cristata
HM488241.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488242.1,West Nile virus,USA: New York,2008,Poecile atricapillus
HM488243.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488244.1,West Nile virus,USA: New York,2008,Falco sparverius
HM488245.1,West Nile virus,USA: New York,2008,Corvus brachyrhynchos
HM488252.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HM488253.1,West Nile virus,USA: Illinois,2006,Culex
HM488254.1,West Nile virus,USA: Illinois,2007,Culex
HM538580.1,West Nile virus,USA: Connecticut,2005,Culex restuans
HM538581.1,West Nile virus,USA: Connecticut,2007,Culex pipiens
HM538584.1,West Nile virus,USA: New York,2007,Passer domesticus
HM756649.1,West Nile virus,USA: Connecticut,2006,Culex pipiens
HM756660.1,West Nile virus,USA: New York,2008,Accipiter cooperii
HM756675.1,West Nile virus,USA: New York,2005,Corvus brachyrhynchos
HM756677.1,West Nile virus,USA: New Mexico,2005,Loriini
HM756678.1,West Nile virus,USA: New York,2007,Corvus brachyrhynchos
GQ379157.1,West Nile virus,USA: California,2008-08,Corvus
GQ379158.1,West Nile virus,USA: California,2007-08,Culex tarsalis
GQ379159.1,West Nile virus,USA: California,2008-08,Sciurus niger
GQ379160.1,West Nile virus,Argentina,2006-02,Equus caballus
GQ379161.1,West Nile virus,Argentina,2006-02,Equus caballus
FJ766331.1,West Nile virus,Spain,2007-10,Aquila chrysaetos
FJ766332.1,West Nile virus,Spain,2007-10,Aquila chrysaetos
FJ483548.1,West Nile virus,Italy,2008,Corvidae
FJ483549.1,West Nile virus,Italy,2008,Corvidae
FJ159129.1,West Nile virus,Russia: Volgograd,2006,Uranotaenia
FJ159130.1,West Nile virus,Russia: Volgograd,2005,Uranotaenia
